date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:07:24	3121/3121	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2031%20Jul%202018%2006:16:16%20GMT	https://d19m59y37dris4.cloudfront.net/dashboard-premium/1-4-4/vendor/jquery.cookie/jquery.cookie.js	C:/Users/jethro/Desktop/demo/d19m59y37dris4.cloudfront.net/dashboard-premium/1-4-4/vendor/jquery.cookie/jquery.cookie.js	(from https://demo.bootstrapious.com/dashboard-premium/1-4-4/index.html)
12:07:25	23261/23261	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2031%20Jul%202018%2006:15:50%20GMT	https://d19m59y37dris4.cloudfront.net/dashboard-premium/1-4-4/vendor/jquery-validation/jquery.validate.min.js	C:/Users/jethro/Desktop/demo/d19m59y37dris4.cloudfront.net/dashboard-premium/1-4-4/vendor/jquery-validation/jquery.validate.min.js	(from https://demo.bootstrapious.com/dashboard-premium/1-4-4/index.html)
12:07:25	159638/159638	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2031%20Jul%202018%2006:12:48%20GMT	https://d19m59y37dris4.cloudfront.net/dashboard-premium/1-4-4/vendor/chart.js/Chart.min.js	C:/Users/jethro/Desktop/demo/d19m59y37dris4.cloudfront.net/dashboard-premium/1-4-4/vendor/chart.js/Chart.min.js	(from https://demo.bootstrapious.com/dashboard-premium/1-4-4/index.html)
12:07:26	45483/45483	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2031%20Jul%202018%2006:16:40%20GMT	https://d19m59y37dris4.cloudfront.net/dashboard-premium/1-4-4/vendor/malihu-custom-scrollbar-plugin/jquery.mCustomScrollbar.concat.min.js	C:/Users/jethro/Desktop/demo/d19m59y37dris4.cloudfront.net/dashboard-premium/1-4-4/vendor/malihu-custom-scrollbar-plugin/jquery.mCustomScrollbar.concat.min.js	(from https://demo.bootstrapious.com/dashboard-premium/1-4-4/index.html)
12:07:26	1411/1411	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2031%20Jul%202018%2006:10:00%20GMT	https://d19m59y37dris4.cloudfront.net/dashboard-premium/1-4-4/js/charts-home.js	C:/Users/jethro/Desktop/demo/d19m59y37dris4.cloudfront.net/dashboard-premium/1-4-4/js/charts-home.js	(from https://demo.bootstrapious.com/dashboard-premium/1-4-4/index.html)
12:07:27	19229/19229	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2031%20Jul%202018%2006:16:55%20GMT	https://d19m59y37dris4.cloudfront.net/dashboard-premium/1-4-4/vendor/messenger-hubspot/build/js/messenger.min.js	C:/Users/jethro/Desktop/demo/d19m59y37dris4.cloudfront.net/dashboard-premium/1-4-4/vendor/messenger-hubspot/build/js/messenger.min.js	(from https://demo.bootstrapious.com/dashboard-premium/1-4-4/index.html)
12:07:27	1281/1281	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2031%20Jul%202018%2006:16:53%20GMT	https://d19m59y37dris4.cloudfront.net/dashboard-premium/1-4-4/vendor/messenger-hubspot/build/js/messenger-theme-flat.js	C:/Users/jethro/Desktop/demo/d19m59y37dris4.cloudfront.net/dashboard-premium/1-4-4/vendor/messenger-hubspot/build/js/messenger-theme-flat.js	(from https://demo.bootstrapious.com/dashboard-premium/1-4-4/index.html)
12:07:27	284/284	---M--	200	added ('OK')	application/javascript	etag:%225b5ffd3c-11c%22	https://d19m59y37dris4.cloudfront.net/dashboard-premium/1-4-4/js/home-premium.js	C:/Users/jethro/Desktop/demo/d19m59y37dris4.cloudfront.net/dashboard-premium/1-4-4/js/home-premium.js	(from https://demo.bootstrapious.com/dashboard-premium/1-4-4/index.html)
12:07:28	1756/1756	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2031%20Jul%202018%2006:10:03%20GMT	https://d19m59y37dris4.cloudfront.net/dashboard-premium/1-4-4/js/front.js	C:/Users/jethro/Desktop/demo/d19m59y37dris4.cloudfront.net/dashboard-premium/1-4-4/js/front.js	(from https://demo.bootstrapious.com/dashboard-premium/1-4-4/index.html)
12:07:29	2998/2998	---M--	200	added ('OK')	image/png	etag:%225b5ffecc-bb6%22	https://d19m59y37dris4.cloudfront.net/dashboard-premium/1-4-4/vendor/malihu-custom-scrollbar-plugin/mCSB_buttons.png	C:/Users/jethro/Desktop/demo/d19m59y37dris4.cloudfront.net/dashboard-premium/1-4-4/vendor/malihu-custom-scrollbar-plugin/mCSB_buttons.png	(from https://d19m59y37dris4.cloudfront.net/dashboard-premium/1-4-4/vendor/malihu-custom-scrollbar-plugin/jquery.mCustomScrollbar.css)
12:07:29	387/387	---M--	200	added ('OK')	image/png	etag:%225b5ffd2d-183%22	https://d19m59y37dris4.cloudfront.net/dashboard-premium/1-4-4/img/multiselect-switch.png	C:/Users/jethro/Desktop/demo/d19m59y37dris4.cloudfront.net/dashboard-premium/1-4-4/img/multiselect-switch.png	(from https://d19m59y37dris4.cloudfront.net/dashboard-premium/1-4-4/css/style.default.premium.css)
